Species group,Critically imperiled (N1),Imperiled (N2),Vulnerable (N3),Apparently secure (N4),Secure (N5),Subtotal of species with numerical ranks,Presumed extirpated (NX),Possibly extirpated (NH),Unrankable (NU),Unranked (NNR),Not applicable (NNA),Total
Amphibians,3,5,10,9,19,46,1,0,0,0,0,47
Ants,0,0,5,22,113,140,0,3,47,0,15,205
Bees,4,11,16,67,186,284,0,0,590,5,24,903
Beetles,97,77,324,1841,1729,4068,0,21,3450,25,674,8238
Birds,23,22,52,84,255,436,5,0,18,3,234,696
Bivalves,12,11,12,90,53,178,1,1,219,1,16,416
Bryophytes,75,146,184,296,387,1088,1,4,287,2,24,1406
Caddisflies,0,0,2,159,64,225,0,3,406,45,0,679
Cephalopods,0,0,0,23,10,33,0,0,67,0,0,100
Corals,0,1,40,4,11,56,0,0,95,1,0,152
Decapods,1,0,9,13,127,150,0,0,147,3,18,318
Dragonflies and damselflies,9,15,24,40,116,204,0,1,2,3,9,219
Earthworms,3,0,0,1,0,4,0,0,5,1,20,30
Fishes,11,28,51,189,396,675,3,1,382,0,334,1395
Fleas,1,5,11,18,33,68,0,0,74,4,7,153
Grasshoppers and relatives,11,16,21,62,98,208,1,7,17,0,38,271
Harvestmen,0,2,1,6,0,9,0,0,23,0,6,38
Horseshoe crabs,0,0,0,0,0,0,0,0,1,0,0,1
Lacewings,1,3,2,14,4,24,0,1,53,18,6,102
Leeches,0,0,0,11,9,20,0,0,49,2,2,73
Lichens,127,97,104,404,685,1417,0,6,1136,116,2,2677
Macrofungi,76,151,310,1424,457,2418,0,1,4300,217,15,6951
Mammals,11,11,33,28,105,188,1,1,8,0,25,223
Mayflies,2,0,1,75,5,83,0,3,220,36,0,342
Moths and butterflies,47,136,448,1336,1704,3671,2,3,1426,34,294,5430
Myriapods,1,0,1,2,14,18,0,1,86,0,33,138
Pseudoscorpions,0,0,1,2,0,3,0,0,20,1,0,24
Reptiles,4,9,16,2,9,40,4,0,2,0,3,49
Sawflies,0,0,1,84,0,85,0,0,459,98,60,702
Scorpionflies,3,0,2,10,2,17,0,0,8,0,0,25
Sea cucumbers,0,0,0,1,32,33,0,0,40,2,0,75
Sea stars,0,3,7,20,24,54,0,0,61,0,0,115
Sea urchins,0,0,0,1,13,14,0,0,17,1,0,32
Selected flies,31,62,368,914,536,1911,0,3,2980,200,78,5172
Slime moulds,2,6,34,26,7,75,0,0,215,0,0,290
Solifuges,2,1,0,0,0,3,0,0,0,0,0,3
Spiders,17,30,39,422,344,852,0,0,481,31,75,1439
Sponges,0,0,9,0,24,33,0,0,234,3,0,270
Springtails,0,0,0,22,0,22,0,0,318,37,8,385
Stoneflies,0,2,1,82,31,116,0,0,151,25,0,292
Terrestrial and freshwater snails and slugs,14,23,28,53,61,179,1,4,85,5,46,320
Ticks,0,2,3,6,11,22,0,0,10,0,17,49
True bugs,12,50,94,727,351,1234,0,0,1777,553,443,4007
Vascular plants,254,293,418,852,1989,3806,20,31,84,4,1379,5324
Water mites,7,6,68,107,0,188,0,0,392,73,0,653
Yellowjackets and relatives,12,21,15,13,24,85,0,0,6,0,14,105
