Country,1990 Percent,2000 Percent,2010 Percent,2020 Percent
Afghanistan,1.85,1.85,1.85,1.85
 Albania,28.8,28.07,28.54,28.8
 Algeria,0.7,0.66,0.81,0.82
 American Samoa,90.45,90.45,85.43,85.43
 Andorra,34.19,34.19,34.19,34.19
 Angola,63.58,62.33,57.88,53.43
 Antigua and Barbuda,22.57,20.32,20.32,18.06
 Argentina,12.86,12.2,11.04,10.44
 Armenia,11.82,11.75,11.68,11.57
 Australia,17.54,17.27,16.97,17.55
 Austria,45.8,46.55,46.86,47.29
 Azerbaijan,10.98,11.46,11.99,13.15
 Bahamas,50.95,50.95,50.95,50.95
 Bangladesh,14.31,14.31,14.07,14.03
 Barbados,13.92,13.92,13.92,13.92
 Belarus,38.34,40.77,42.53,43.21
 Belgium,22.36,22.03,22.79,22.76
 Belize,70.16,63.97,60.99,55.99
 Benin,42.3,36.18,31.8,27.43
 Bermuda,18.52,18.52,18.52,18.52
 Bhutan,65.3,67.88,70.45,70.97
 Bolivia,53.36,50.86,49.0,46.93
 Bosnia and Herzegovina,43.18,41.26,41.08,42.75
 Botswana,33.18,31.09,29.0,26.92
 Brazil,69.61,65.14,60.47,58.7
 British Virgin Islands,26.49,26.49,26.49,26.49
 Brunei,78.44,75.4,72.17,72.17
 Bulgaria,30.63,31.07,34.41,35.84
 Burkina Faso,28.21,26.38,24.55,22.72
 Burundi,10.75,7.55,7.55,10.9
 Cambodia,62.35,61.08,59.99,45.71
 Cameroon,47.6,45.69,44.21,43.03
 Canada,38.3,38.25,38.19,38.15
 Cape Verde,3.72,9.92,10.66,11.41
 Cayman Islands,49.24,49.24,49.24,49.24
 Central African Republic,37.24,36.76,36.28,35.8
 Chad,5.34,5.05,4.39,3.43
 Chile,20.5,21.26,22.49,24.48
 China,16.85,18.98,21.51,23.59
 Colombia,62.54,60.4,58.54,56.94
 Comoros,24.7,22.56,19.87,17.72
 Cook Islands,63.56,67.8,67.8,67.8
 Costa Rica,56.93,55.95,56.23,59.44
 Croatia,33.05,33.68,34.3,34.64
 Cuba,18.73,22.16,26.68,29.5
 Cyprus,17.42,18.61,18.72,18.72
 Czech Republic,34.05,34.16,34.42,34.68
 Democratic Republic of the Congo,66.44,63.47,60.51,55.65
 Denmark,12.51,13.48,13.81,14.8
 Djibouti,0.26,0.26,0.26,0.26
 Dominica,66.58,63.91,63.91,63.91
 Dominican Republic,33.01,40.81,42.9,44.37
 East Timor,64.55,63.61,62.67,61.73
 Ecuador,57.07,53.56,50.82,48.75
 Egypt,0.04,0.06,0.07,0.05
 El Salvador,34.7,32.53,30.36,28.18
 Equatorial Guinea,96.22,93.26,90.26,87.27
 Eritrea,9.2,8.94,8.7,8.44
 Estonia,52.04,52.82,55.11,57.52
 Eswatini,26.8,27.49,28.19,28.95
 Ethiopia,19.26,18.53,17.8,17.07
 Fiji,51.44,55.05,58.72,62.38
 Finland,72.0,73.88,73.21,73.76
 France,26.18,27.72,29.77,31.28
 French Guiana,97.27,96.72,96.21,95.81
 French Polynesia,37.63,38.93,38.93,38.93
 Gabon,92.22,91.98,91.78,91.32
 Gambia,41.5,35.7,30.0,24.3
 Georgia,39.48,39.61,40.49,40.49
 Germany,32.41,32.56,32.72,32.75
 Ghana,43.62,38.89,34.91,35.1
