Region,Critically imperiled (S1),Imperiled (S2),Vulnerable (S3),Apparently secure (S4),Secure (S5),Subtotal of species with numerical ranks,Possibly extirpated (SX),Presumed extirpated (SH),Unrankable (SU),Unranked (SNR),Not applicable (SNA),Total,Number of species found only in this region
Ontario,664,742,1367,6639,2378,11790,119,37,11182,14,2634,25776,3920
British Columbia,249,648,2198,4702,3171,10968,43,10,8803,2545,2170,24539,6780
Quebec,653,777,2236,4231,3548,11445,134,20,3552,4548,2234,21933,1263
Alberta,560,747,2714,3702,1386,9109,11,5,7440,3,955,17523,885
Manitoba,387,550,1935,2365,950,6187,24,12,7954,431,914,15522,665
Nova Scotia,376,294,489,1011,1588,3758,20,9,7858,177,1782,13604,508
New Brunswick,395,270,691,1800,1709,4865,26,13,6760,193,1605,13462,337
Saskatchewan,392,366,1317,2632,851,5558,38,8,5984,11,912,12511,278
Newfoundland,175,400,564,833,532,2504,19,1,1572,3536,1114,8746,297
Yukon,124,302,705,1661,881,3673,98,1,3226,602,280,7880,335
Northwest Territories,57,225,599,1644,282,2807,1,0,4724,3,282,7817,207
Prince Edward Island,285,182,230,514,501,1712,17,7,2799,38,1068,5641,25
Labrador,109,323,396,464,274,1566,8,2,1243,1593,289,4701,27
Nunavut,56,242,438,646,208,1590,1,1,1804,2,162,3560,166
Pacific Ocean,10,15,96,233,231,585,0,0,754,3,125,1467,1133
Atlantic Ocean,14,11,52,92,399,568,0,3,498,7,355,1431,814
Eastern Arctic Ocean,1,5,13,48,54,121,0,0,434,1,36,592,109
Western Arctic Ocean,2,1,5,26,12,46,0,0,186,1,28,261,32
