National index (percent change),Bird index (percent change),Mammal index (percent change),Fish index (percent change)
0.0,0.0,0.0,0.0
0.89,0.56,-10.71,5.62
1.55,1.2,-18.74,9.85
1.82,1.9,-25.26,12.1
1.55,2.64,-34.37,13.51
1.51,3.42,-39.6,13.74
1.48,4.22,-41.62,12.42
1.65,5.09,-41.7,11.36
2.27,5.93,-38.67,10.28
2.95,6.67,-35.94,9.92
3.65,7.32,-32.17,9.57
4.3,7.91,-28.14,9.12
4.25,8.4,-29.11,8.5
4.27,8.75,-30.83,8.1
4.91,9.97,-32.04,8.01
5.42,11.17,-33.46,8.38
5.68,12.4,-34.53,6.96
4.61,12.13,-35.88,4.3
3.95,12.36,-34.77,1.32
3.2,12.58,-33.41,-1.97
3.0,12.83,-31.8,-4.79
2.68,13.07,-30.62,-6.77
2.44,13.24,-30.5,-7.95
2.66,13.26,-30.91,-7.0
3.28,13.11,-32.02,-4.02
3.49,12.88,-30.41,-2.84
3.48,12.52,-26.66,-3.01
3.33,12.09,-23.57,-4.37
2.41,11.56,-24.19,-6.24
1.67,10.96,-25.91,-7.46
1.13,10.29,-27.02,-8.05
0.82,9.91,-28.78,-7.99
0.24,9.18,-30.09,-8.7
-0.28,8.33,-29.83,-9.04
-0.9,8.31,-27.76,-12.2
-1.07,8.55,-25.41,-13.55
-0.89,9.05,-23.53,-13.8
-0.58,9.69,-21.95,-14.13
-0.57,10.47,-21.8,-14.98
-0.24,11.22,-22.66,-14.9
-0.16,11.87,-25.03,-14.91
-0.19,12.35,-28.7,-14.73
-1.2,12.58,-35.71,-16.01
-2.85,12.48,-38.59,-18.86
-4.12,12.45,-41.72,-21.03
-4.83,12.44,-42.59,-22.51
-4.39,12.45,-41.56,-21.48
